"filename", "language", "JSON with Comments", "JSON", "Markdown", "pip requirements", "TypeScript", "JavaScript", "Shell Script", "comment", "blank", "total"
"c:\Users\kunal\Desktop\perojecccttt\wms-project\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\.prettierrc", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\README.md", "Markdown", 0, 0, 68, 0, 0, 0, 0, 2, 29, 99
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 1, 2, 36
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\install.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 31, 4, 8, 43
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\package-lock.json", "JSON", 0, 12036, 0, 0, 0, 0, 0, 0, 1, 12037
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\package.json", "JSON", 0, 98, 0, 0, 0, 0, 0, 0, 1, 99
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\requirements.txt", "pip requirements", 0, 0, 0, 24, 0, 0, 0, 5, 5, 34
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\app.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\app.controller.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 4, 7, 49
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\app.service.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\common\guards\admin.guard.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 1, 3, 21
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\common\guards\jwt-auth.guard.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
